カスタムリーダー,名前,ユーザ名,バトルタグ,参加形態,duoの場合の相方,,第一希望ロール,第二希望ロール,第三希望ロール,タンクのレート,ダメージのレート,サポートのレート,CS,インフルエンサー,配信NG,Aブロック,Bブロック,Cブロック,Dブロック
FALSE,,,大いなる深淵#3897,ソロ,,FALSE,タンク,,,4400,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,キリアキ,kiriaki,キリアキ#1897,ソロ,,FALSE,タンク,,,1000,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ぱたぽん,patapon6769,ぱたぽん#11505,ソロ,,FALSE,タンク,,,4100,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,FUEN,fuen4513,FUEN#1644,ソロ,,FALSE,タンク,,,1100,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,はるたぴ(HRtp),hrtp222,HRtp#11289,ソロ,,FALSE,ダメージ,,,,3300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,どすけべじゃんぬ,dskb_jeannedarc,どすけべじゃんぬ#1193,ソロ,,FALSE,ダメージ,,,,3000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,yosimura_OwO_,yosimura,YsYCitron#1147,ソロ,,FALSE,タンク,,,1000,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,彩 無色(いろどりむしき),musiki_649,musiki649VT#1882,ソロ,,FALSE,ダメージ,,,,2700,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,轟ひまりん,himarins,ひまりん・ｗ・#3320,デュオ,悲しい色やねん,FALSE,ダメージ,,,,3400,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Leo,mxylq,Leo#39820,デュオ,kuru,FALSE,サポート,,,,,1200,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ぷりけってぃ🍑,purikettei76dfgr,ぷりけってぃ#3261,ソロ,,FALSE,ダメージ,,,,3900,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,し,_s.t,しー#11726,デュオ,uiro,FALSE,サポート,,,,,2700,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,NEMUNEKOMAA#1640,ソロ,,FALSE,サポート,,,,,1200,,,,,,,
FALSE,橙華まり,toukamari0202,橙華まり#3857,デュオ,喜枝コビト,FALSE,タンク,,,3000,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ザクロ,zakuro3210,ZAKURO#31728,ソロ,,FALSE,ダメージ,,,,1200,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,穀潰し鈴木,_suzuk,穀潰し鈴木#1770,ソロ,,FALSE,サポート,,,,,1100,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,敗北請負人,arioka_4820,敗北請負人＃3118,デュオ,ぴょん,FALSE,ダメージ,,,,2500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,あめあと #1516,あめあと#8917,あめあと#1516,デュオ,Nir4kuy,FALSE,ダメージ,,,,2000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,さばたつ,sabatatu,sabatatu#1512,ソロ,,FALSE,ダメージ,,,,3000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,yankidd31,yankidd31,yankidd31#3657,ソロ,,FALSE,ダメージ,,,,3300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,まりまりまりん,marinelove,まりまりまりん#3901,デュオ,クラッシャーみずき,FALSE,サポート,,,,,2800,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,さえちゃん,saechan.,さえちゃん#3454,デュオ,ガレオン,FALSE,タンク,,,2800,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,きゃんちょめ,ズッキーニ#8481,Kanchome#11793,ソロ,,FALSE,サポート,,,,,2800,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,夕暮闇ノ助,yamisaaan,Yamisaaa#1963,ソロ,,FALSE,サポート,,,,,1700,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,秦理亜,リア#6993,リア#3132,ソロ,,FALSE,サポート,,,,,4100,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,たかし,nadeko__,たかし#3743,ソロ,,FALSE,タンク,,,2500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ヒノキ/Cypress,cypress_yfy,Cypress#31851,ソロ,,FALSE,ダメージ,,,,3500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Fenrir,fenrir2418,りるくそ#1956,ソロ,,FALSE,サポート,,,,,3600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ななせ,nanase0817,ネコと和解せよ#3516,デュオ,おそら,FALSE,タンク,,,2500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,まだおちゃん♡,madaochannel,まだおちゃんねる#3476,デュオ,sagirikoちゃんねる,FALSE,ダメージ,,,,4500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,猫宮るな,runya2222,RUNACAT#31921,ソロ,,FALSE,タンク,,,3500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,すずねこ,すずねこ#9002,すずねこ#1714,ソロ,,FALSE,サポート,,,,,4300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,Kaiju#31205,ソロ,,FALSE,タンク,,,4000,,,,,,,,,
FALSE,たちのあずさ,azu5960,AZU12#3849,デュオ,kyou,FALSE,ダメージ,,,,3900,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,狼吠望 まろ_🐺,maro_wolf,maro#31735,ソロ,,FALSE,タンク,,,3500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,はな#12869,デュオ,かずま,FALSE,サポート,,,,,3000,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,蟲兵アント『ギヘイアント』,giheiant,蟲兵アント#3439,ソロ,,FALSE,サポート,,,,,1900,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,🍩マコレ🍩,do72,どーなつ#3757,ソロ,,FALSE,タンク,,,1500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,月虹ソルト,月虹ソルト#9305,月虹ソルトＴＴＶ#3986,ソロ,,FALSE,ダメージ,,,,2600,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,ななしくん,ソロ,,FALSE,タンク,,,2700,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,雪村レンゲ,hibi8883,ひびね#1189,デュオ,すず,FALSE,タンク,,,2500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,じそちゅ,jisoo_ow,じそちゅ#1211,ソロ,,FALSE,サポート,,,,,2400,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,一条EVE🦇𓂃◌𓈒𓐍,eve0929,EVEVtuber#3519,デュオ,,FALSE,タンク,,,1700,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,鎖骨,sato9435,鎖骨#31728,デュオ,にゃすた,FALSE,サポート,,,,,2400,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FlowXo2960,flowxo2960,RYOUCHAN #3728,ソロ,,FALSE,サポート,,,,,1500,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,海底撈月,haitei_ray,かっぱ寿司の悪魔#3865,ソロ,,FALSE,ダメージ,,,,1900,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,deko,deko#4891,DEKO#11879,デュオ,しぐれどき,FALSE,ダメージ,,,,3000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,芽々守ゆうざ,uza_mememori,Uza#31586,ソロ,,FALSE,サポート,,,,,3600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ヒーラーはいないのか？,groupon#8214,あたいがふ～#3265,ソロ,,FALSE,タンク,,,1600,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,せみまる,semimaru7014,せみまるナノだ#1654,デュオ,apiales,FALSE,サポート,,,,,3600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,おなかぺこぺこ,onakapecopeco,REDIVE#3918,ソロ,,FALSE,タンク,,,4200,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,四葉/りんご,k7_i4,四葉#11511,デュオ,ur,FALSE,ダメージ,,,,4200,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,瓜果めろん,melo__melon,UrikaMelon#3886,デュオ,maotan,FALSE,タンク,,,2000,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,サクラ,sakura_317haru,お世話なワーム#3288,ソロ,,FALSE,サポート,,,,,1000,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ZyoN,zyon,ZyoN#11737,ソロ,,FALSE,ダメージ,,,,1000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,かろなーる,naru1512,田中みなみ#3632,デュオ,ソル,FALSE,ダメージ,,,,4400,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,おさつねこ,osatsuneko,おさつ#3320,ソロ,,FALSE,タンク,,,1300,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,後輩A,kohaia,後輩A#1633,ソロ,,FALSE,タンク,,,2400,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Ariato,ariato,Ariato193#1792,ソロ,,FALSE,ダメージ,,,,2400,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,タナボタ丸,tanabotam4ru,タナボタ丸#3485,デュオ,肉索敵さとみん,FALSE,ダメージ,,,,1200,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Sho105,Sho105#4524,小野のうさぎ#3331,ソロ,,FALSE,タンク,,,1600,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ばなな,ばなな#8541,ばなな#11987,デュオ,みあ,FALSE,タンク,,,2200,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,こころ,amakara_kokoro,KOK0RO#3209,デュオ,くみあいちょー,FALSE,サポート,,,,,3400,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,どこかのふれいむ,threeflame3124,threeflame#1686,デュオ,脇,FALSE,ダメージ,,,,3800,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,仮面の騎士 ナイト＝ルーゼ,knight_lueze,ナイトルーゼ#3322,ソロ,,FALSE,サポート,,,,,1300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,としかぜ,toshikaze,としかぜ#1108,ソロ,,FALSE,ダメージ,,,,3700,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ぷる子,t1803,ぷる子#3159,デュオ,のぶお,FALSE,ダメージ,,,,1300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Kan9ro,kan9ro_gg,Kan9roTwitch#3268,デュオ,ひろ,FALSE,サポート,,,,,4200,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,神楽うた,kgr_ut23,神楽うた#1457,ソロ,,FALSE,ダメージ,,,,3700,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,SIROKUMA,.ohag1,sirokuma#31841,ソロ,,FALSE,ダメージ,,,,2400,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,がんたそ丸,gantasomaru,お隣の天使#3540,ソロ,,FALSE,サポート,,,,,1900,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ぴょんちゃん,ぴょんちゃん#5751,ゴーストパンツ#11511,デュオ,敗北請負人,FALSE,ダメージ,,,,1500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,雨雲らい,rai026,Rai026#3905,ソロ,,FALSE,サポート,,,,,3800,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ato#11165,ato.#6642,ato#11165,ソロ,,FALSE,ダメージ,,,,2500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,𝓐𝓩𝓡　キャンセル,azr63,AZR63＃3485,デュオ,,FALSE,タンク,,,2200,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,melguda,melguda,melguda#1120,ソロ,,FALSE,ダメージ,,,,3000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,reinSUtyan#1345,rein0928,reinSUtyan#1345,ソロ,,FALSE,タンク,,,2900,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,kum4kun,st0252,wnflstob #3852,デュオ,tommy,FALSE,サポート,,,,,2800,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,あじつけ,azituke,あじつけ#3692,ソロ,,FALSE,ダメージ,,,,3600,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,耳田耀,mimida__akaru,耳田耀#3316,ソロ,,FALSE,タンク,,,4000,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,アオイヌ,aoinu0817,アオイヌ#3787,ソロ,,FALSE,ダメージ,,,,4000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,みあch,miachannel_,みあちゃんねる#3411,デュオ,ばなな,FALSE,ダメージ,,,,3500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,白キツネ,shirokitsune0219,白キツネ#3552,ソロ,,FALSE,タンク,,,2400,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,なりえつ,narietsu,なりえつ#3935,デュオ,もか,FALSE,サポート,,,,,2800,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,AZIL#11158,ソロ,,FALSE,タンク,,,3100,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,タカギ,hgfbrz_,タカギこ#3940,ソロ,,FALSE,タンク,,,2200,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,うさまる,usamaru_ch,うさまるＹＴ配信#3410,ソロ,,FALSE,ダメージ,,,,2100,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,JeDru,jedru,Nyan#11769,ソロ,,FALSE,タンク,,,1300,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,丸井玉緒/kenny玉緒,kennyyuuxo,丸井玉緒#1498,ソロ,,FALSE,タンク,,,4500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,静ひらり,hirarisan,AMETHYST#31957,ソロ,,FALSE,ダメージ,,,,2100,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,はたやyosikazu,はたやyosikazu#7277,HATAYAA#1372,デュオ,かりんとう,FALSE,サポート,,,,,2300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,𝓊𝓇,ur_3,flan#11498,デュオ,りんご,FALSE,タンク,,,2700,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Yamato(CFTR) VC〇,Yamato(CFTR)#5283,Memphis#12911,ソロ,,FALSE,タンク,,,1600,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,いくら丼,02925,いくら丼#3304,ソロ,,FALSE,サポート,,,,,2100,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ma_bo_do_hu,morpheus_tohu,Morpheus#12355,ソロ,,FALSE,ダメージ,,,,2300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,NANA,nana_1226,ILY#11290,ソロ,,FALSE,タンク,,,2300,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,エアー,エアー#0616,エアー#3484,ソロ,,FALSE,タンク,,,3400,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,そりとん,soriton,Lucy#14987,ソロ,,FALSE,タンク,,,3600,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,SAKURA(SKR#11565),sakura_i,SKR#11565,ソロ,,FALSE,ダメージ,,,,2300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,朔葉（さくは）,xhfamaze,XHFAmaze#3457,ソロ,,FALSE,ダメージ,,,,2800,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Rai,rai0329,Rai#31253,ソロ,,FALSE,ダメージ,,,,2300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,kuru,kuru8120,유엘#31486,デュオ,leo,FALSE,タンク,,,2200,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,つけパン,tsukepan,TUKEPAN#3261,ソロ,,FALSE,ダメージ,,,,1700,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,,,ななしくん,ソロ,,FALSE,ダメージ,,,,2100,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,えぬ(VLONC),qz1n,VLONC#3285,デュオ,m1cchi,FALSE,タンク,,,1500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Wa14kun,.warakun,わらくん#3412,デュオ,あるシー,FALSE,ダメージ,,,,3300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,かっちゃん,kacchanohyes555,KacchanOhyes#1672,ソロ,,FALSE,タンク,,,3800,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,くー,ku1201,ku1201#3435,ソロ,,FALSE,ダメージ,,,,4000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,椛Dende🍁,dende20226,Dende#31644,ソロ,,FALSE,タンク,,,1400,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,くるす蘭,kurusu_ran,くるす蘭#3651,ソロ,,FALSE,タンク,,,1200,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,M1cchi,m1cchi,M1cchi#1758,デュオ,えぬ,FALSE,ダメージ,,,,3100,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ソース,sauce2808,Sauce#31882,ソロ,,FALSE,タンク,,,3700,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ぴぴパパ,pipi3papa,p1pisan#1163,ソロ,,FALSE,ダメージ,,,,2800,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,nuka#11930,ソロ,,FALSE,タンク,,,2100,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,べるなたん#1457,ソロ,,FALSE,ダメージ,,,,2900,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,こさかなとぷす,na7v,kosakana#1665,ソロ,,FALSE,ダメージ,,,,3300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,せら,cera0384,Cera#11294,ソロ,,FALSE,タンク,,,4300,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,JET,jet_mandayo,JET#12720,ソロ,,FALSE,タンク,,,1200,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Murajun,murajun,MURAJUN #3463,ソロ,,FALSE,サポート,,,,,3000,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,kyou,nakatamakyou,kyou#1495,デュオ,たちのあずさ,FALSE,タンク,,,1000,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,TAKA kokorohaXbox,taka_xbox,TAKA#13318,ソロ,,FALSE,ダメージ,,,,2700,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ちべたん,chibe_tan,ちべたん#1641,ソロ,,FALSE,サポート,,,,,1200,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,またたび,silver_vine_,SILVERVINE#31175,ソロ,,FALSE,タンク,,,3500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,リクルート,.recru1t,Recru1t#11631,ソロ,,FALSE,タンク,,,1200,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,雲丹えら,err0r4444,回復支援#1629,ソロ,,FALSE,ダメージ,,,,1600,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,黒苺 みるく .*･ﾟ,kurome.milk,いちごみるく#11376,デュオ,슈르츠シュルツ,FALSE,サポート,,,,,1700,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,AUO,.auo,AUO#11803,デュオ,猫兎いく,FALSE,ダメージ,,,,3100,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,函入もあ,hakoirimoa,函入もあ＃3323,ソロ,,FALSE,サポート,,,,,1000,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,秋月のあ,akizukinoa,秋月のあ#1982,ソロ,,FALSE,タンク,,,3600,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,にゃすた,_nyasuta_,にゃすた#3113,デュオ,鎖骨,FALSE,サポート,,,,,4400,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ほしくーず,hoshikuzu3991,ほしくーず#3192,ソロ,,FALSE,ダメージ,,,,4500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Nixie,Nixie#0111,Nixie#31776,デュオ,カメ,FALSE,サポート,,,,,4300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,姉妹百合ビームの人,yurintyu,姉妹百合ビーム#1906,デュオ,春風日向,FALSE,サポート,,,,,1600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ラブ,ラブ#0428,オシャレ魔女#3813,デュオ,,FALSE,ダメージ,,,,2800,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,りぱすこ,ripasuko,堕天使のりぱすこ#3971,デュオ,すずのさま,FALSE,サポート,,,,,3700,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,りとるんば/littleNB🐰🍞,littlenb.,りとるんば配信#1155,ソロ,,FALSE,サポート,,,,,2400,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,yurig-ghost-,yurig25,YURIG #11715,ソロ,,FALSE,ダメージ,,,,4200,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,aokaze,aokaze0924,aokaze#11484,ソロ,,FALSE,タンク,,,2600,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,adoATP,adoATP#1687,ADOATP#3500,ソロ,,FALSE,タンク,,,1300,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Ax🐹（七転）,baby.g.g,七転抜刀#3768,デュオ,ざくろ,FALSE,サポート,,,,,3900,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,D4iChiN,d4ichin,D4iChiN#1178,ソロ,,FALSE,ダメージ,,,,4500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,appleUC,appleuc,appleUC#1665,ソロ,,FALSE,ダメージ,,,,4000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,スラッシュ,スラッシュ#0784,Slash＃12326,ソロ,,FALSE,ダメージ,,,,2700,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,くまの助,kumanosuke.,くまの助#3461,デュオ,neginoko,FALSE,ダメージ,,,,2100,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ゆーせい,.4696,ゆうせい#11773,ソロ,,FALSE,タンク,,,4000,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Rwy,rwy0907,Rwy#3244,ソロ,,FALSE,ダメージ,,,,4500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,くちっぱてぃ,kutipa,くちぱっティ#3524,ソロ,,FALSE,ダメージ,,,,1900,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,のぶお,munyo6402,NOMAGO #3824,デュオ,ぷる子,FALSE,ダメージ,,,,3300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,odapura,odapura#0168,小田#11805,ソロ,,FALSE,サポート,,,,,2500,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,エビ,ebi1604,EBIchan#31434,ソロ,,FALSE,タンク,,,4500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,たろすbot,tarosu_bot,たろすぼっと#3637,ソロ,,FALSE,タンク,,,2800,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,綾鷹ジャンキー,noayataka_nolife,綾鷹ジャンキー#1165,ソロ,,FALSE,タンク,,,1800,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,くま,kumataro_kun,RAVEN#115333,デュオ,SUSモノクマ,FALSE,タンク,,,3800,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,はぁる,haaru826,はぁる#3115,デュオ,やせつ,FALSE,ダメージ,,,,3300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,ドビちゃん,dobbychan,ドビちゃんｔｔｖ#3494,ソロ,,FALSE,ダメージ,,,,1600,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,きうまお。,kiumaora,きうまお#3638,ソロ,,FALSE,サポート,,,,,1200,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,serious,siri14,serious#31363,ソロ,,FALSE,ダメージ,,,,3400,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ゆーく,euclideuc,EuclidEUC#1553,ソロ,,FALSE,タンク,,,3100,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,lovecook#31814,デュオ,天,FALSE,ダメージ,,,,1300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,和狸ぽこ,watanukipoko,勇者ぽこたん#1657,デュオ,,FALSE,ダメージ,,,,1100,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Apollo,APOLLO#2386,あぽろ#3747,ソロ,,FALSE,タンク,,,2100,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jekto.,jekto1108,ParaDOGs#31457,ソロ,,FALSE,サポート,,,,,4500,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,nero0w0,nero0w0,nero0w0#1413,ソロ,,FALSE,タンク,,,2700,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,悲しい色やねん,kanairo.,悲しい色やねん#3814,デュオ,ひまりん,FALSE,サポート,,,,,3600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,すずのさま,szn_s2,gazelle#31628,デュオ,りぱすこ,FALSE,サポート,,,,,2600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,夜久巳みょうが,myouga1,myouga#11402,ソロ,,FALSE,サポート,,,,,1900,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,Elin#31743,デュオ,もか,FALSE,タンク,,,3900,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
