カスタムリーダー,名前,ユーザ名,バトルタグ,参加形態,duoの場合の相方,,第一希望ロール,第二希望ロール,第三希望ロール,タンクのレート,ダメージのレート,サポートのレート,CS,インフルエンサー,配信NG,Aブロック,Bブロック,Cブロック,Dブロック
FALSE,るどがー,ludgeraa,Ludger#11503,ソロ,,FALSE,ダメージ,,,,4400,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,M0NOKUM4#3708,デュオ,くま,FALSE,ダメージ,,,,2800,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ウィドウの人,bocchi8.,nHnL#31604,ソロ,,FALSE,サポート,,,,,3500,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,iiTzTommy,iitztommy,Tommy#15299,ソロ,,FALSE,ダメージ,,,,2400,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,LilyCandy,lilycandy4848,LilyCandy#1706,ソロ,,FALSE,サポート,,,,,1800,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,愛美,aimi0501,フォアグラ軍艦#3711,デュオ,かなりある,FALSE,ダメージ,,,,1200,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,柚雫-ゆずな-,poyoon.,YUZUNA#3485,ソロ,,FALSE,ダメージ,,,,3100,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,あにゃ아냐,kurayuto,あにゃ#3288,ソロ,,FALSE,ダメージ,,,,4300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,や,ya#6527,ymdsiy#1654,ソロ,,FALSE,タンク,,,1500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,kakubaku,kakubaku,kakubaku#8340,ソロ,,FALSE,ダメージ,,,,2400,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,春風日向,kasuga_harukaze,春風日向#3634,デュオ,姉妹百合ビームの人,FALSE,タンク,,,4300,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ガレオン,.gareon,ガレオン#11919,デュオ,さえちゃん,FALSE,サポート,,,,,3300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Karamiso,karamiso6051,カラミソーセージ#3628,ソロ,,FALSE,タンク,,,2400,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,駄熊,_daguma,DagumaVT#3254,デュオ,Nayuta,FALSE,ダメージ,,,,2200,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,mocalily#1479,デュオ,Elin,FALSE,タンク,,,1900,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Blanton's,blanton_s,るなぴえな#3344,ソロ,,FALSE,タンク,,,1800,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,あつし,atsushi2170,atsushee#3128,ソロ,,FALSE,サポート,,,,,4000,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ゆりあ,yuria_k,きざきのゆりあ#3407,ソロ,,FALSE,ダメージ,,,,3000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,黒井せりな,黒井せりな#3055,Serina#31474,ソロ,,FALSE,タンク,,,3300,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,,,ふわねる#3151,ソロ,,FALSE,サポート,,,,,3600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,すいぎん,suigin8851,すいぎん#3746,ソロ,,FALSE,ダメージ,,,,1000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,かにちゃ🦀🍵,_kanicha,かにちゃついっち#3771,ソロ,,FALSE,サポート,,,,,3900,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,KqNon/かのん,kqnon,KqNon#1813,ソロ,,FALSE,サポート,,,,,1300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
